SBY 18:56:45 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] Removing directory '/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc'.
SBY 18:56:45 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] Copy '/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/src/dut.sv' to '/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc/src/dut.sv'.
SBY 18:56:45 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] Copy '/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/src/fifo_sva_monitor.sv' to '/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc/src/fifo_sva_monitor.sv'.
SBY 18:56:45 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] Copy '/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/src/formal_wrapper.sv' to '/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc/src/formal_wrapper.sv'.
SBY 18:56:45 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: smtbmc
SBY 18:56:45 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] base: starting process "cd /Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc/src; yosys -ql ../model/design.log ../model/design.ys"
SBY 18:56:45 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] base: fifo_sva_monitor.sv:136: Warning: Identifier `\empty_out_past1' is implicitly declared.
SBY 18:56:45 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] base: fifo_sva_monitor.sv:137: Warning: Identifier `\rd_en_in_past1' is implicitly declared.
SBY 18:56:45 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] base: finished (returncode=0)
SBY 18:56:45 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] prep: starting process "cd /Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc/model; yosys -ql design_prep.log design_prep.ys"
SBY 18:56:45 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] prep: finished (returncode=0)
SBY 18:56:45 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] smt2: starting process "cd /Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc/model; yosys -ql design_smt2.log design_smt2.ys"
SBY 18:56:45 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] smt2: finished (returncode=0)
SBY 18:56:45 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: starting process "cd /Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc; yosys-smtbmc --presat --unroll --noprogress -t 50  --append 0 --dump-vcd engine_0/trace.vcd --dump-yw engine_0/trace.yw --dump-vlogtb engine_0/trace_tb.v --dump-smtc engine_0/trace.smtc model/design_smt2.smt2"
SBY 18:56:50 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:04  Checking assumptions in step 26..
SBY 18:56:50 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:04  Checking assertions in step 26..
SBY 18:56:50 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:04  Checking assumptions in step 27..
SBY 18:56:50 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:04  Checking assertions in step 27..
SBY 18:56:51 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:05  Checking assumptions in step 28..
SBY 18:56:51 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:05  Checking assertions in step 28..
SBY 18:56:51 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:05  Checking assumptions in step 29..
SBY 18:56:51 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:05  Checking assertions in step 29..
SBY 18:56:52 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:06  Checking assumptions in step 30..
SBY 18:56:52 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:06  Checking assertions in step 30..
SBY 18:56:53 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:07  Checking assumptions in step 31..
SBY 18:56:53 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:07  Checking assertions in step 31..
SBY 18:56:54 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:08  Checking assumptions in step 32..
SBY 18:56:54 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:08  Checking assertions in step 32..
SBY 18:56:54 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:08  Checking assumptions in step 33..
SBY 18:56:54 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:08  Checking assertions in step 33..
SBY 18:56:55 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:09  Checking assumptions in step 34..
SBY 18:56:55 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:09  Checking assertions in step 34..
SBY 18:56:56 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:10  Checking assumptions in step 35..
SBY 18:56:56 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:10  Checking assertions in step 35..
SBY 18:56:57 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:11  Checking assumptions in step 36..
SBY 18:56:57 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:11  Checking assertions in step 36..
SBY 18:56:58 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:12  Checking assumptions in step 37..
SBY 18:56:58 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:12  Checking assertions in step 37..
SBY 18:56:59 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:13  Checking assumptions in step 38..
SBY 18:56:59 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:13  Checking assertions in step 38..
SBY 18:57:00 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:14  Checking assumptions in step 39..
SBY 18:57:00 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:14  Checking assertions in step 39..
SBY 18:57:02 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:16  Checking assumptions in step 40..
SBY 18:57:02 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:16  Checking assertions in step 40..
SBY 18:57:03 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:17  Checking assumptions in step 41..
SBY 18:57:03 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:17  Checking assertions in step 41..
SBY 18:57:04 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:18  Checking assumptions in step 42..
SBY 18:57:04 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:18  Checking assertions in step 42..
SBY 18:57:05 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:19  Checking assumptions in step 43..
SBY 18:57:05 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:19  Checking assertions in step 43..
SBY 18:57:07 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:21  Checking assumptions in step 44..
SBY 18:57:07 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:21  Checking assertions in step 44..
SBY 18:57:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:23  Checking assumptions in step 45..
SBY 18:57:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:23  Checking assertions in step 45..
SBY 18:57:10 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:24  Checking assumptions in step 46..
SBY 18:57:11 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:25  Checking assertions in step 46..
SBY 18:57:12 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:26  Checking assumptions in step 47..
SBY 18:57:12 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:26  Checking assertions in step 47..
SBY 18:57:13 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:27  Checking assumptions in step 48..
SBY 18:57:13 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:27  Checking assertions in step 48..
SBY 18:57:15 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:29  Checking assumptions in step 49..
SBY 18:57:15 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:29  Checking assertions in step 49..
SBY 18:57:16 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:30  Status: passed
SBY 18:57:16 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: finished (returncode=0)
SBY 18:57:16 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: Status returned by engine: pass
SBY 18:57:16 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] summary: Elapsed clock time [H:MM:SS (secs)]: 0:00:31 (31)
SBY 18:57:16 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] summary: Elapsed process time [H:MM:SS (secs)]: 0:00:31 (31)
SBY 18:57:16 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] summary: engine_0 (smtbmc) returned pass
SBY 18:57:16 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] summary: engine_0 did not produce any traces
SBY 18:57:16 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_dbf16509/assertions/formal_dbf16509__10_ap_fifo_data_after_empty_1_4/formal_dbf16509__10_ap_fifo_data_after_empty_1_4_bmc] DONE (PASS, rc=0)
